CMDLINE C:\Users\15360\anaconda3\envs\nanoGPT\python.exe Code_Analysis/gpt2sample.py
MEM 1523.812500 1745132600.9099
MEM 1523.812500 1745132601.0170
MEM 1523.812500 1745132601.1237
MEM 1523.812500 1745132601.2300
MEM 1523.812500 1745132601.3390
MEM 1523.812500 1745132601.4477
MEM 1523.812500 1745132601.5556
MEM 1523.812500 1745132601.6623
MEM 1523.812500 1745132601.7693
MEM 1523.812500 1745132601.8781
MEM 1523.812500 1745132601.9845
MEM 1524.035156 1745132602.0908
MEM 1524.035156 1745132602.1990
MEM 1524.175781 1745132602.3063
MEM 1524.175781 1745132602.4141
MEM 1524.175781 1745132602.5236
MEM 1524.175781 1745132602.6337
MEM 1524.175781 1745132602.7435
MEM 1524.175781 1745132602.8517
MEM 1524.175781 1745132602.9593
MEM 1524.175781 1745132603.0658
MEM 1524.175781 1745132603.1748
MEM 1524.175781 1745132603.2833
MEM 1524.175781 1745132603.3896
MEM 1524.175781 1745132603.4987
MEM 1524.175781 1745132603.6058
MEM 1524.175781 1745132603.7148
MEM 1524.175781 1745132603.8217
MEM 1524.175781 1745132603.9310
MEM 1524.175781 1745132604.0402
MEM 1524.175781 1745132604.1480
MEM 1524.175781 1745132604.2537
MEM 1524.175781 1745132604.3614
MEM 1524.175781 1745132604.4705
MEM 1524.253906 1745132604.5797
MEM 1514.500000 1745132604.6871
MEM 1514.519531 1745132604.7977
MEM 1449.742188 1745132604.9302
MEM 444.492188 1745132605.0513
